net,length_um
net3305,316.66µm
net10118,316.6µm
net38619,316.6µm
net3694,316.51µm
net43973,316.51µm
net8155,316.5µm
net39680,316.37µm
net47658,316.32µm
net32108,316.3µm
net34256,316.28µm
net62002,316.25µm
net37447,316.23µm
_059417_,316.2µm
net40396,316.075µm
net46809,316.01µm
net46459,315.965µm
net34749,315.855µm
net48687,315.8µm
net9914,315.695µm
net36355,315.66µm
net5229,315.63µm
_013428_,315.5µm
net48912,315.5µm
net43216,315.45µm
net45716,315.4µm
net11269,315.38µm
net33703,315.37µm
net41705,315.34µm
net13771,315.24µm
net37100,315.23µm
net41279,315.2µm
net7579,315.18µm
net7057,315.15µm
net7083,315.145µm
net37532,315.14µm
net40001,315.03µm
net10981,315.02µm
net37705,314.99µm
net41501,314.99µm
net35668,314.95µm
net36035,314.89µm
net41789,314.88µm
net49103,314.86µm
net38193,314.8µm
net45264,314.795µm
net9397,314.76µm
net7593,314.755µm
net36076,314.68µm
_018150_,314.66µm
net43214,314.66µm
net28777,314.62µm
net46639,314.54µm
net45687,314.51µm
net40058,314.46µm
net35320,314.39µm
net41801,314.38µm
net7018,314.37µm
net44945,314.37µm
net17759,314.36µm
net39931,314.35µm
net9573,314.34µm
net38398,314.32µm
_019587_,314.28µm
net34495,314.265µm
net41435,314.17µm
net6676,314.02µm
net42442,313.97µm
net36684,313.925µm
net43611,313.9µm
net35125,313.82µm
net61620,313.745µm
net36924,313.71µm
_021511_,313.68µm
net46367,313.65µm
net10564,313.63µm
net16253,313.58µm
net1267,313.57µm
net2498,313.52µm
net34655,313.52µm
net11220,313.45µm
net49470,313.43µm
net42371,313.42µm
_020429_,313.4µm
net40871,313.23µm
net46429,313.165µm
net38810,313.13µm
net42412,313.11µm
net10785,313.06µm
net6655,313.05µm
net46007,312.97µm
net31421,312.88µm
net33540,312.87µm
net6503,312.84µm
net11578,312.815µm
net38526,312.75µm
conv_accelerator_inst.wb_v1,312.56µm
net41795,312.56µm
_022398_,312.555µm
_013478_,312.53µm
net36383,312.47µm
net10972,312.44µm
net5424,312.435µm
net48216,312.38µm
net37077,312.36µm
net36494,312.32µm
net3858,312.3µm
net46981,312.255µm
net42137,312.03µm
net31267,312µm
net34713,311.96µm
net4307,311.95µm
net34988,311.935µm
_025249_,311.79µm
net32314,311.7µm
net36418,311.68µm
net46889,311.67µm
_021944_,311.64µm
net43396,311.6µm
net48851,311.59µm
net5006,311.585µm
net10999,311.56µm
net44916,311.41µm
net49082,311.41µm
_028896_,311.4µm
net40293,311.35µm
net37953,311.315µm
net42863,311.24µm
net10904,311.12µm
qspi_master_inst.QSPI_ADR\[21\],311.11µm
net48773,311.04µm
delaynet_0_clk_i,311µm
net9593,310.99µm
net37887,310.98µm
net44456,310.93µm
net1615,310.895µm
net7006,310.89µm
net38251,310.66µm
net35876,310.56µm
net47063,310.56µm
_019958_,310.42µm
net49076,310.405µm
net30584,310.38µm
net44557,310.38µm
net1243,310.26µm
net38611,310.23µm
net48724,310.2µm
net45034,310.145µm
net45441,310.02µm
net28621,310µm
net33068,310µm
net28169,309.96µm
net47183,309.95µm
net49713,309.9µm
net35197,309.89µm
net11849,309.865µm
net27324,309.86µm
net11340,309.65µm
net49437,309.62µm
net36352,309.555µm
net7504,309.48µm
net10147,309.48µm
_019186_,309.45µm
net7925,309.38µm
net48694,309.365µm
net31943,309.31µm
net12854,309.27µm
net45749,309.24µm
